ratio,method,mean_rank_corr,mean_magnitude_var,mean_dispersion,n_folds
0.1,shap,0.7384282273931703,0.00015108090201322046,0.9460642505777836,25
0.3,shap,0.8687525012720723,5.726873306016197e-05,0.9371745131385105,25
0.5,shap,0.8339798071624913,4.496843993507715e-05,0.9541311197923728,25
0.1,pfi,0.254778348245468,0.00041370888752053524,0.9035123667315317,25
0.3,pfi,0.34644153167486513,0.0001683457799074612,0.8857902081495727,25
0.5,pfi,0.33867866365136423,0.00021408321541911365,0.9182886712911956,25
