fold_id,repeat_id,seed,model_name,class_ratio,metric_accuracy,metric_roc_auc,shap_age_years,shap_checking_status_A11,shap_checking_status_A12,shap_checking_status_A13,shap_checking_status_A14,shap_credit_amount,shap_credit_history_A30,shap_credit_history_A31,shap_credit_history_A32,shap_credit_history_A33,shap_credit_history_A34,shap_duration_months,shap_employment_since_A71,shap_employment_since_A72,shap_employment_since_A73,shap_employment_since_A74,shap_employment_since_A75,shap_existing_credits,shap_foreign_worker_A201,shap_foreign_worker_A202,shap_housing_A151,shap_housing_A152,shap_housing_A153,shap_installment_rate,shap_job_A171,shap_job_A172,shap_job_A173,shap_job_A174,shap_other_debtors_A101,shap_other_debtors_A102,shap_other_debtors_A103,shap_other_installment_plans_A141,shap_other_installment_plans_A142,shap_other_installment_plans_A143,shap_people_liable,shap_personal_status_sex_A91,shap_personal_status_sex_A92,shap_personal_status_sex_A93,shap_personal_status_sex_A94,shap_property_A121,shap_property_A122,shap_property_A123,shap_property_A124,shap_purpose_A40,shap_purpose_A41,shap_purpose_A410,shap_purpose_A42,shap_purpose_A43,shap_purpose_A44,shap_purpose_A45,shap_purpose_A46,shap_purpose_A48,shap_purpose_A49,shap_residence_since,shap_savings_status_A61,shap_savings_status_A62,shap_savings_status_A63,shap_savings_status_A64,shap_savings_status_A65,shap_telephone_A191,shap_telephone_A192,pfi_age_years,pfi_checking_status_A11,pfi_checking_status_A12,pfi_checking_status_A13,pfi_checking_status_A14,pfi_credit_amount,pfi_credit_history_A30,pfi_credit_history_A31,pfi_credit_history_A32,pfi_credit_history_A33,pfi_credit_history_A34,pfi_duration_months,pfi_employment_since_A71,pfi_employment_since_A72,pfi_employment_since_A73,pfi_employment_since_A74,pfi_employment_since_A75,pfi_existing_credits,pfi_foreign_worker_A201,pfi_foreign_worker_A202,pfi_housing_A151,pfi_housing_A152,pfi_housing_A153,pfi_installment_rate,pfi_job_A171,pfi_job_A172,pfi_job_A173,pfi_job_A174,pfi_other_debtors_A101,pfi_other_debtors_A102,pfi_other_debtors_A103,pfi_other_installment_plans_A141,pfi_other_installment_plans_A142,pfi_other_installment_plans_A143,pfi_people_liable,pfi_personal_status_sex_A91,pfi_personal_status_sex_A92,pfi_personal_status_sex_A93,pfi_personal_status_sex_A94,pfi_property_A121,pfi_property_A122,pfi_property_A123,pfi_property_A124,pfi_purpose_A40,pfi_purpose_A41,pfi_purpose_A410,pfi_purpose_A42,pfi_purpose_A43,pfi_purpose_A44,pfi_purpose_A45,pfi_purpose_A46,pfi_purpose_A48,pfi_purpose_A49,pfi_residence_since,pfi_savings_status_A61,pfi_savings_status_A62,pfi_savings_status_A63,pfi_savings_status_A64,pfi_savings_status_A65,pfi_telephone_A191,pfi_telephone_A192
0,0,42,xgboost,0.1,0.735,0.6877380952380953,0.4113117456436157,0.1533411145210266,0.09776654094457626,0.06273278594017029,0.4357839524745941,0.552462637424469,0.03893880173563957,0.08384133130311966,0.07119767367839813,0.03927389159798622,0.2743893265724182,0.49135884642601013,0.006270153913646936,0.1258368343114853,0.11669594049453735,0.22460629045963287,0.022517826408147812,0.11694341897964478,0.025507163256406784,0.0,0.20141738653182983,0.053452834486961365,0.037962332367897034,0.3002007007598877,0.0,0.026096828281879425,0.04186391457915306,0.05574873089790344,0.04616587609052658,0.0,0.10966222733259201,0.02765854075551033,0.03424911946058273,0.1654941886663437,0.02482178434729576,0.0334736593067646,0.08693398535251617,0.03738228604197502,0.01964399591088295,0.1021348163485527,0.27494049072265625,0.15143589675426483,0.04122423753142357,0.1480807512998581,0.1727905124425888,0.0,0.2466985583305359,0.05563482642173767,0.0,0.003087257966399193,0.013222675770521164,0.0,0.008559809066355228,0.18672294914722443,0.5252424478530884,0.0,0.0,0.04772220924496651,0.05529244989156723,0.010532103478908539,0.0,-0.016952380952380962,0.010833333333333361,0.007309523809523877,0.003119047619047577,0.03997619047619048,0.026547619047619042,0.004738095238095185,-0.0020238095238094946,0.005166666666666653,0.000547619047619019,0.020499999999999963,0.01826190476190479,0.0003809523809523263,0.0023809523809523946,0.0019047619047619202,-0.0037619047619047883,0.0005238095238095042,0.004214285714285726,0.00019047619047618536,0.0,-0.007285714285714273,0.0001666666666666039,9.523809523805937e-05,-0.0046190476190475895,0.0,0.00011904761904759641,-0.00045238095238091524,0.002261904761904776,-0.002166666666666628,0.0,-0.01499999999999999,-0.00028571428571428915,-2.3809523809514842e-05,-0.0006190476190476524,0.00014285714285713346,-0.0012857142857142679,-0.0030476190476190546,-0.001928571428571435,-0.0004761904761904523,-0.0029523809523809286,-0.005619047619047568,-0.006976190476190492,0.00028571428571433355,0.0011904761904762307,-0.0037380952380952513,0.0,-0.011190476190476195,-0.0029285714285714136,0.0,-0.0006190476190476746,-0.0010000000000000009,0.0,0.0004285714285714226,-0.007880952380952388,0.021452380952381,0.0,0.0,-0.0014047619047619308,0.0020238095238095167,-0.0005238095238095486,0.0
0,0,42,xgboost,0.3,0.73,0.7633333333333333,0.2573184370994568,0.196536123752594,0.043325964361429214,0.05635664612054825,0.6066734194755554,0.38047149777412415,0.036310359835624695,0.076995350420475,0.05012239143252373,0.01875471882522106,0.271839439868927,0.6479074954986572,0.021016180515289307,0.06856125593185425,0.0324564166367054,0.194047749042511,0.008388563059270382,0.09832920134067535,0.07629531621932983,0.0,0.07898827642202377,0.038567010313272476,0.007422612514346838,0.1996084451675415,0.0013444380601868033,0.006222170777618885,0.031556740403175354,0.019012080505490303,0.0025764689780771732,0.044848423451185226,0.11689113825559616,0.05519122630357742,0.009959688410162926,0.07543677091598511,0.07202808558940887,0.0028442591428756714,0.06480030715465546,0.07565052807331085,0.0,0.1561966836452484,0.03320563957095146,0.00884248223155737,0.07549437880516052,0.1739056557416916,0.20783573389053345,0.005693712737411261,0.03134969621896744,0.06021803990006447,0.0,0.0059918928891420364,0.07295113056898117,0.00523140374571085,0.019905349239706993,0.16402828693389893,0.22891779243946075,0.0077348677441477776,0.0017518498934805393,0.06895127147436142,0.09835893660783768,0.06566935032606125,0.0,-0.0027142857142858244,0.01466666666666665,0.0024047619047618874,0.005452380952380898,0.07738095238095237,0.018714285714285683,-0.001333333333333364,-0.004047619047619078,7.142857142852232e-05,0.00040476190476188554,0.020190476190476158,0.05097619047619047,0.004285714285714293,0.002642857142857169,-0.0016904761904761977,-0.002166666666666717,0.0004761904761904523,0.005357142857142838,-0.0037619047619047883,0.0,0.005785714285714216,0.0007142857142856451,0.0004761904761904523,-0.005452380952381009,0.0,-0.0005714285714285783,0.002761904761904743,0.0010238095238095158,-0.0012619047619047974,-0.0014761904761904977,-0.017142857142857192,0.00242857142857138,-2.3809523809537048e-05,0.0024285714285714024,0.000642857142857145,-0.0003095238095238706,-0.0038095238095238403,-0.005214285714285749,0.0,0.007166666666666632,-0.0009523809523809934,-0.0009285714285714785,-0.0034047619047619325,-0.0005476190476190635,0.003999999999999981,-0.00030952380952384837,-0.0021428571428571573,-0.0009761904761904861,0.0,-0.0007619047619047859,-0.0018333333333333535,0.0,-0.0010000000000000453,-0.004452380952380963,0.0038333333333333774,0.00023809523809521506,2.380952380949264e-05,0.0006904761904761747,0.009380952380952334,-0.0007142857142857561,0.0
0,0,42,xgboost,0.5,0.74,0.7491666666666668,0.35196197032928467,0.34904778003692627,0.07142258435487747,0.04565051198005676,0.693009614944458,0.3597885072231293,0.036179069429636,0.1163102462887764,0.04574203118681908,0.012001671828329563,0.30435997247695923,0.7244039177894592,0.05272877216339111,0.09822794049978256,0.027655670419335365,0.2576434016227722,0.022908305749297142,0.04436549171805382,0.03602113574743271,0.0,0.04505445435643196,0.024249568581581116,0.010858830995857716,0.1840546578168869,0.0,0.0781298577785492,0.03593546897172928,0.029630329459905624,0.024709166958928108,0.01424048189073801,0.11248224228620529,0.0671490803360939,0.019105538725852966,0.095913365483284,0.04367607459425926,0.006671457085758448,0.12401066720485687,0.04222976043820381,0.010688191279768944,0.1329631209373474,0.03348378464579582,0.04137665778398514,0.011880865320563316,0.3954247534275055,0.08625615388154984,0.0,0.05197468400001526,0.03336510434746742,0.0,0.01937214285135269,0.12326023727655411,0.0,0.057866159826517105,0.07940632104873657,0.12407752871513367,0.028876304626464844,0.00414624297991395,0.0855955183506012,0.15530018508434296,0.07542747259140015,0.0,0.016000000000000104,0.010238095238095357,0.003190476190476255,0.0017619047619048312,0.06238095238095247,-0.006761904761904658,-0.002761904761904699,-0.0054285714285713825,0.0013333333333334085,-7.142857142847792e-05,0.018619047619047736,0.03780952380952392,0.0005476190476191745,-2.3809523809426025e-05,0.0010238095238095824,-0.01066666666666658,0.0024047619047619763,0.005023809523809586,-0.0019999999999999575,0.0,0.000761904761904808,0.006023809523809587,0.0025476190476191097,-0.0009999999999999343,0.0,-0.001309523809523716,0.00423809523809533,-0.0018809523809523165,-0.00019047619047605214,-0.0006190476190474969,-0.0115714285714285,-2.3809523809426025e-05,0.003690476190476288,0.0025000000000001245,0.0018571428571429794,-0.0009047619047618527,-0.0038095238095237293,-0.002285714285714202,0.00023809523809530385,0.005595238095238186,-0.0008571428571428008,-0.0024285714285712913,-0.0008571428571427786,0.019857142857142997,-0.0012619047619046864,0.0,0.0029285714285714583,0.0006428571428572338,0.0,-0.0029523809523808843,0.00011904761904779626,0.0,-0.0017619047619046534,-0.005023809523809408,0.0022857142857143796,-0.0019761904761904647,0.00028571428571428915,0.0010952380952381712,0.0033571428571429695,-0.0020238095238094057,0.0
1,0,42,xgboost,0.1,0.74,0.72,0.6352518200874329,0.20618611574172974,0.006883028894662857,0.02876865863800049,0.7727603316307068,0.9278329610824585,0.0,0.0,0.08338310569524765,0.006075721234083176,0.14428232610225677,0.4178004860877991,0.02231777273118496,0.05969756096601486,0.04833793267607689,0.10412782430648804,0.0465942919254303,0.11704710125923157,0.027205321937799454,0.0,0.00727930199354887,0.07766622304916382,0.01689741760492325,0.3756822347640991,0.0,0.0508875697851181,0.07012031227350235,0.019033057615160942,0.01433175802230835,0.03860181197524071,0.04584364965558052,0.0054234471172094345,0.0,0.13325202465057373,0.1297474056482315,0.05467158928513527,0.03558208420872688,0.03361453860998154,0.013620441779494286,0.18825513124465942,0.01867601089179516,0.15463297069072723,0.10375618934631348,0.42707550525665283,0.0639890655875206,0.0,0.1307552456855774,0.061658043414354324,0.0,0.0,0.060089822858572006,0.0,0.022310934960842133,0.12757200002670288,0.4278978705406189,0.000935087155085057,0.024190092459321022,0.030360721051692963,0.0313662588596344,0.2549765408039093,0.0,0.019999999999999973,0.011833333333333274,0.0002857142857142669,0.0028095238095237505,0.055023809523809475,0.025380952380952393,0.0,0.0,-0.0010714285714285676,7.142857142856673e-05,0.005476190476190435,0.013452380952380948,-0.0012380952380952159,0.00030952380952373735,-0.002142857142857202,-0.0005952380952381819,-0.0010000000000000009,0.002119047619047598,-0.0012380952380951938,0.0,-9.523809523810378e-05,-0.0022142857142857463,-0.0010238095238095824,0.01833333333333338,0.0,0.002047619047619009,0.0013333333333333196,0.0006190476190476079,-0.000785714285714345,0.0023333333333333205,-0.0008333333333333526,0.0005714285714285783,0.0,0.0032619047619047103,-0.00016666666666673713,-0.0015952380952381161,0.0020238095238095167,0.0009761904761904638,-0.0010476190476190529,0.008047619047619059,0.0019047619047618315,-0.008499999999999997,-0.0023809523809524167,0.01773809523809522,0.0009047619047618749,0.0,-0.003928571428571481,0.0005952380952380487,0.0,0.0,0.0017380952380952274,0.0,0.0011666666666666713,0.007476190476190458,0.04102380952380944,-2.3809523809537048e-05,0.001523809523809505,0.0015000000000000124,0.0013095238095237826,0.025523809523809504,0.0
1,0,42,xgboost,0.3,0.745,0.756547619047619,0.18660736083984375,0.19478103518486023,0.040379758924245834,0.05825195461511612,0.8243050575256348,0.5411573648452759,0.02807171270251274,0.0823153704404831,0.03479096293449402,0.02668365277349949,0.2923087775707245,0.4295249283313751,0.0123576819896698,0.12269928306341171,0.028259901329874992,0.17064279317855835,0.049890656024217606,0.036818694323301315,0.06397981196641922,0.0,0.0926646813750267,0.05387222394347191,0.02112392708659172,0.1635412573814392,0.0,0.026456480845808983,0.014994986355304718,0.065635547041893,0.00852022785693407,0.014132623560726643,0.1371389478445053,0.025924690067768097,0.009797407314181328,0.21589551866054535,0.07133528590202332,0.03591783717274666,0.04734676331281662,0.08347541838884354,0.0031911993864923716,0.06443411111831665,0.03340628370642662,0.07071348279714584,0.06605738401412964,0.20182155072689056,0.21262237429618835,0.0024385391734540462,0.01745770499110222,0.019054610282182693,0.0,0.008886217139661312,0.056755732744932175,0.0,0.02773834392428398,0.10479471832513809,0.2062535136938095,0.043869730085134506,0.03507533669471741,0.05871473625302315,0.08539458364248276,0.05342652648687363,0.0,0.010404761904761894,0.020047619047619,-0.002595238095238228,0.0023095238095238056,0.0668095238095238,0.01542857142857137,-0.0014047619047619308,-9.523809523810378e-05,-0.0006190476190476302,0.0003809523809523263,0.0024523809523809394,0.027047619047619008,-2.2204460492503132e-17,0.000333333333333341,-0.0004523809523810485,0.009738095238095257,0.0019999999999999575,-0.0016190476190476755,-0.0015952380952381606,0.0,0.0002619047619047521,-0.002619047619047654,-0.0010714285714285455,0.0070000000000000505,0.0,0.0010238095238095158,0.004285714285714293,0.004833333333333268,0.0010476190476190084,0.0015952380952380274,-0.008119047619047647,0.0023095238095237835,0.0001666666666666705,0.003238095238095218,-0.0010952380952381046,0.0001666666666666705,0.0036428571428571478,-0.002666666666666706,0.0002142857142857224,0.005714285714285716,0.0005952380952380487,-0.0040952380952381075,0.0010714285714285676,0.006095238095238087,0.02745238095238096,4.7619047619074095e-05,-0.0015238095238095718,-0.0011428571428571787,0.0,-0.0002857142857142669,0.0003333333333332966,0.0,0.0013333333333332754,-0.004500000000000015,0.016904761904761888,-0.0015952380952381385,-0.002333333333333365,-0.0012142857142857233,0.004476190476190434,0.004047619047619033,0.0
1,0,42,xgboost,0.5,0.745,0.7561904761904762,0.2500242292881012,0.222797691822052,0.04745521396398544,0.076445572078228,0.841819703578949,0.5856267213821411,0.004481172189116478,0.1505894958972931,0.06119281426072121,0.011186734773218632,0.3566426932811737,0.5217796564102173,0.0027197778690606356,0.14946192502975464,0.029865050688385963,0.12898367643356323,0.02158380299806595,0.18487365543842316,0.05104292556643486,0.0,0.040737248957157135,0.048518311232328415,0.03335365653038025,0.09775186330080032,0.0030674270819872618,0.016067512333393097,0.03414081409573555,0.15941014885902405,0.015687869861721992,0.02597562037408352,0.1701386421918869,0.0853329598903656,0.010097184218466282,0.08042336255311966,0.08025457710027695,0.0,0.09317237138748169,0.09310974180698395,0.00898787286132574,0.08010932803153992,0.05255457013845444,0.05215059220790863,0.030135855078697205,0.15786102414131165,0.32046371698379517,0.0,0.036676451563835144,0.1123276799917221,0.0,0.023854956030845642,0.014873111620545387,0.0,0.0920839011669159,0.19189774990081787,0.1828325390815735,0.04438558220863342,0.03616458550095558,0.039582256227731705,0.18750815093517303,0.14606241881847382,0.0,0.012833333333333297,0.017095238095238073,-0.0019999999999999797,0.0049047619047619005,0.06419047619047624,0.011642857142857111,-7.142857142856673e-05,0.01461904761904762,0.00028571428571428915,0.0003095238095238262,0.009999999999999943,0.043785714285714296,0.00019047619047620756,0.0006190476190476079,-0.003738095238095185,0.004785714285714282,-0.0012380952380952159,0.004357142857142837,-0.0006666666666666598,0.0,0.0008571428571428674,0.002523809523809528,0.0004285714285714448,0.0055952380952380976,-0.0002142857142857668,-0.00033333333333331885,-0.002523809523809506,-0.0029523809523809507,0.003166666666666651,0.002285714285714291,-0.0005000000000000337,0.0014523809523809383,7.142857142861114e-05,0.003285714285714292,-0.000642857142857145,0.0,0.0018571428571428684,-0.0011428571428571122,0.0004285714285714448,0.0034523809523809403,0.0003571428571428559,-0.0015714285714286014,-0.0010476190476190529,0.006380952380952399,0.021690476190476215,0.0,-0.0008809523809523601,0.003285714285714292,0.0,0.0002142857142857224,-0.00021428571428565578,0.0,-0.0008571428571428674,0.002666666666666706,0.009166666666666679,-0.002547619047619043,-0.005999999999999961,-9.523809523805937e-05,0.0055476190476190235,0.0042619047619047775,0.0
2,0,42,xgboost,0.1,0.73,0.7009523809523809,0.3364180028438568,0.16641370952129364,0.16875523328781128,0.1646384447813034,0.6063907742500305,0.6042167544364929,0.09846945106983185,0.003821354592218995,0.0394744835793972,0.004337121732532978,0.6677919030189514,0.5816932916641235,0.005725146736949682,0.24220813810825348,0.08995100110769272,0.11963112652301788,0.11042127013206482,0.19126850366592407,0.0,0.0,0.022347507998347282,0.07385141402482986,0.006413623224943876,0.2187196910381317,0.0,0.08063359558582306,0.05185374617576599,0.011290711350739002,0.15491782128810883,0.0,0.0,0.05434170737862587,0.0,0.07485119253396988,0.08192247152328491,0.0497676357626915,0.09080787003040314,0.05146650969982147,0.0700661689043045,0.09142375737428665,0.01776638813316822,0.05579136684536934,0.04473710432648659,0.18430881202220917,0.23025375604629517,0.0,0.018176672980189323,0.07660720497369766,0.0,0.012205720879137516,0.00992070697247982,0.0,0.03353697434067726,0.4449036419391632,0.12923797965049744,0.06211252510547638,0.014566011726856232,0.0025382149033248425,0.2781464755535126,0.22214867174625397,0.0,-0.0010476190476191194,0.010976190476190384,-0.002095238095238194,0.0004999999999998561,0.032166666666666587,-0.0018809523809525165,-0.00045238095238107066,0.0002857142857142003,0.00304761904761901,0.00021428571428556699,0.027880952380952295,0.03699999999999988,0.00047619047619038566,0.0006904761904761081,-0.00161904761904772,-0.001547619047619131,-0.0007380952380953154,0.0012380952380951714,0.0,0.0,0.0005476190476189302,-0.0005952380952381597,0.0002619047619046411,-0.006714285714285806,0.0,-0.004714285714285782,-0.005857142857142938,-0.0001428571428571779,-0.010761904761904861,0.0,0.0,0.00035714285714278927,0.0,0.001999999999999913,0.004142857142857048,0.0025238095238094395,0.001047619047618964,-0.0015714285714286235,-0.0009285714285715008,0.009595238095238035,0.002023809523809472,0.00019047619047611873,0.00033333333333323,0.007428571428571407,0.013452380952380882,0.0,-0.00011904761904777406,-0.00033333333333340764,0.0,-0.000928571428571523,7.142857142847792e-05,0.0,0.0003809523809523041,0.004523809523809441,0.008809523809523734,-0.002523809523809639,0.0016666666666665497,-4.761904761918512e-05,0.011928571428571311,0.014261904761904675,0.0
2,0,42,xgboost,0.3,0.745,0.7782142857142856,0.1943402737379074,0.18904615938663483,0.02534603886306286,0.10267316550016403,0.7407733798027039,0.47669535875320435,0.06315160542726517,0.05110099911689758,0.027205146849155426,0.03218524530529976,0.32081976532936096,0.36128711700439453,0.01429946068674326,0.12400766462087631,0.025360969826579094,0.20874696969985962,0.07999963313341141,0.0943455696105957,0.04019203037023544,0.0,0.09933532029390335,0.04663781076669693,0.01888885162770748,0.19235871732234955,0.0,0.04669646918773651,0.08048153668642044,0.048130374401807785,0.020439110696315765,0.0034226931165903807,0.06814923882484436,0.12960337102413177,0.0,0.02192777954041958,0.008220703341066837,0.02329452522099018,0.09142021834850311,0.04850361496210098,0.018638184294104576,0.051335472613573074,0.015698140487074852,0.03383904695510864,0.07315072417259216,0.15352731943130493,0.23233003914356232,0.0,0.013794058933854103,0.10410729050636292,0.0,0.020185697823762894,0.05149015411734581,0.0,0.009942455217242241,0.14725355803966522,0.1144164651632309,0.006510394625365734,0.00247894786298275,0.05645991861820221,0.09383279830217361,0.037114039063453674,0.0,0.00971428571428563,0.009285714285714208,9.523809523799276e-05,0.0017380952380952053,0.054333333333333234,0.029404761904761822,0.0017142857142856461,0.006023809523809387,0.0011904761904760752,-0.0008095238095239043,-0.0033571428571429252,0.051761904761904655,0.0008333333333332638,-0.009000000000000053,-0.003690476190476244,0.0016190476190475422,-0.0011428571428572232,-0.002071428571428635,0.008690476190476071,0.0,-0.0064761904761905685,-0.00033333333333349644,-0.000833333333333397,0.0029999999999998916,0.0,-0.00547619047619059,0.002642857142857102,0.0011190476190475307,-0.002071428571428702,0.00035714285714276705,0.007047619047618969,0.0056666666666665534,0.0,-0.001238095238095327,-0.001500000000000079,0.0034523809523808956,-0.000785714285714345,-0.0008333333333334191,-0.0035714285714286698,0.004333333333333278,-0.0010000000000000453,-0.0020238095238096056,-0.0006904761904762858,0.010309523809523746,0.023095238095238012,0.0,2.3809523809470434e-05,-0.0017619047619048533,0.0,-0.0038809523809524736,-0.0004285714285715336,0.0,-0.0007857142857143673,0.0015238095238094384,0.00995238095238089,0.0003333333333332744,-0.00014285714285722229,0.00995238095238089,0.0037619047619046773,0.002714285714285647,0.0
2,0,42,xgboost,0.5,0.72,0.7709523809523811,0.34439972043037415,0.2830580770969391,0.018371708691120148,0.0495489165186882,0.7260921597480774,0.5301700234413147,0.05475103482604027,0.09702526777982712,0.04486900940537453,0.1309061497449875,0.42456555366516113,0.42901843786239624,0.0017025016713887453,0.2818072438240051,0.01641966961324215,0.20552484691143036,0.018906570971012115,0.13960044085979462,0.02958514913916588,0.0,0.10537446290254593,0.04199871048331261,0.013615800067782402,0.2140389382839203,0.0,0.04852261021733284,0.06258650124073029,0.029534559696912766,0.029861805960536003,0.002338671125471592,0.054739512503147125,0.2027997374534607,0.004047032445669174,0.010426019318401814,0.008020027540624142,0.0431160032749176,0.05243063345551491,0.03552759066224098,0.03468860685825348,0.08142583072185516,0.06462660431861877,0.03870971500873566,0.022678442299365997,0.18355196714401245,0.18937037885189056,0.0,0.015301579609513283,0.06157917156815529,0.0,0.004560606088489294,0.0740114375948906,0.0,0.001004558987915516,0.11900058388710022,0.12666086852550507,0.027467355132102966,0.030040977522730827,0.039349596947431564,0.11984668672084808,0.04478316009044647,0.0,0.03514285714285725,0.017666666666666785,-4.761904761894087e-05,-2.380952380935941e-05,0.05516666666666683,0.015666666666666763,-0.001357142857142679,0.01811904761904779,0.0021904761904763203,-0.001190476190476053,-0.002619047619047543,0.03764285714285722,0.0007142857142859338,-0.008714285714285609,-0.00014285714285700024,-0.004047619047618944,0.0011904761904763417,0.01121428571428582,0.004785714285714393,0.0,-0.003761904761904633,-0.004976190476190379,-0.000857142857142712,0.007452380952381055,0.0,-0.001642857142857035,-0.000428571428571356,-0.0023095238095236946,0.0018571428571430237,0.00016666666666689255,0.005095238095238197,0.009571428571428675,-0.0009285714285713453,0.0028809523809524506,-7.14285714284113e-05,0.0033571428571429695,-0.00033333333333323,0.001261904761904864,0.0017857142857144348,0.005309523809523898,-0.0037380952380951403,1.1102230246251565e-16,0.00011904761904775185,0.009571428571428764,0.018928571428571562,0.0,0.0005714285714286893,-0.00026190476190466325,0.0,0.0001428571428573111,-0.002642857142857102,0.0,7.142857142872217e-05,0.00716666666666681,0.010261904761904871,-0.0015238095238094384,-0.0028571428571427136,0.005214285714285838,0.009000000000000119,0.005238095238095352,0.0
3,0,42,xgboost,0.1,0.71,0.7435714285714285,0.4987974464893341,0.28476768732070923,0.03803003206849098,0.06258531659841537,0.3120655119419098,0.4984781742095947,0.0,0.026220202445983887,0.017092643305659294,0.006237416993826628,0.14628002047538757,0.5188664793968201,0.0,0.1280759572982788,0.05126430466771126,0.2731856107711792,0.13877788186073303,0.13491548597812653,0.043783966451883316,0.0,0.011480884626507759,0.036709368228912354,0.0021843193098902702,0.21198353171348572,0.0,0.045075591653585434,0.01872437633574009,0.011215112172067165,0.03925732895731926,0.0,0.0024985705967992544,0.1588817834854126,0.009810284711420536,0.05916723236441612,0.11805841326713562,0.009078125469386578,0.05145056173205376,0.11045119911432266,0.04593229293823242,0.034465327858924866,0.09398889541625977,0.08928714692592621,0.0210734773427248,0.05939312279224396,0.2604440748691559,0.0,0.09036439657211304,0.09778506308794022,0.0,0.0,0.11651268601417542,0.0,0.04646851494908333,0.28796833753585815,0.41045376658439636,0.005731792654842138,0.002393760485574603,0.003102843649685383,0.08536586165428162,0.11583437770605087,0.0,0.011976190476190496,0.017333333333333333,0.0023571428571428576,0.0011190476190476196,0.032166666666666656,0.04152380952380952,0.0,0.0040714285714285705,0.0006190476190476302,-0.00040476190476190776,0.008404761904761892,0.03619047619047615,0.0,0.0023333333333333205,0.0006428571428570784,0.012404761904761853,0.008452380952380923,0.0035238095238094846,0.004952380952380953,0.0,-0.0005238095238095042,-0.002880952380952384,-2.380952380944823e-05,0.022761904761904782,0.0,0.0028095238095238394,-0.0009523809523809712,0.001904761904761898,0.004047619047619033,0.0,0.0004999999999999894,0.001047619047619075,-0.00045238095238098186,0.00014285714285715566,0.007547619047619003,-2.380952380949264e-05,0.002261904761904754,0.004547619047619,-0.0006904761904761969,0.002642857142857169,0.0020952380952381057,-0.003619047619047655,-0.0008809523809524044,0.010666666666666668,0.013738095238095216,0.0,-0.005238095238095241,0.002619047619047632,0.0,0.0,-0.0029047619047619434,0.0,0.002142857142857135,0.03564285714285713,0.002523809523809528,-0.0005238095238095264,0.0002619047619047743,7.142857142863334e-05,-0.0002142857142857446,0.002142857142857135,0.0
